"Check","Severity","Excluded","Type","Description","Details"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(152.99 mm, 151.49 mm): PTH pad 12 [/D6_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(91.12 mm, 117.06 mm): PTH pad 2 [+3.3V] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(152.99 mm, 151.49 mm): PTH pad 12 [/D6_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(150.45 mm, 151.49 mm): PTH pad 13 [/D5_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(93.66 mm, 119.6 mm): PTH pad 3 [/IO_1] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(150.45 mm, 151.49 mm): PTH pad 13 [/D5_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(147.91 mm, 151.49 mm): PTH pad 14 [/D4_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(93.66 mm, 119.6 mm): PTH pad 3 [/IO_1] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(147.91 mm, 151.49 mm): PTH pad 14 [/D4_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(93.66 mm, 117.06 mm): PTH pad 4 [/IO_6] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(145.37 mm, 151.49 mm): PTH pad 15 [/D3_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(93.66 mm, 117.06 mm): PTH pad 4 [/IO_6] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(145.37 mm, 151.49 mm): PTH pad 15 [/D3_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(96.2 mm, 119.6 mm): PTH pad 5 [/IO_2] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(142.83 mm, 151.49 mm): PTH pad 16 [/D2_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(96.2 mm, 119.6 mm): PTH pad 5 [/IO_2] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(142.83 mm, 151.49 mm): PTH pad 16 [/D2_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(96.2 mm, 117.06 mm): PTH pad 6 [/IO_7] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(140.29 mm, 151.49 mm): PTH pad 17 [/D1_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(96.2 mm, 117.06 mm): PTH pad 6 [/IO_7] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(140.29 mm, 151.49 mm): PTH pad 17 [/D1_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(98.74 mm, 119.6 mm): PTH pad 7 [/IO_3] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(137.75 mm, 151.49 mm): PTH pad 18 [/D0_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(137.75 mm, 151.49 mm): PTH pad 18 [/D0_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(98.74 mm, 119.6 mm): PTH pad 7 [/IO_3] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(135.21 mm, 151.49 mm): PTH pad 19 [/OE] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(98.74 mm, 117.06 mm): PTH pad 8 [/IO_8] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(135.21 mm, 151.49 mm): PTH pad 19 [/OE] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(98.74 mm, 117.06 mm): PTH pad 8 [/IO_8] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(132.67 mm, 151.49 mm): PTH pad 20 [+3.3V] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(101.28 mm, 119.6 mm): PTH pad 9 [/IO_4] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(132.67 mm, 151.49 mm): PTH pad 20 [+3.3V] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(101.28 mm, 119.6 mm): PTH pad 9 [/IO_4] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(101.28 mm, 117.06 mm): PTH pad 10 [/IO_9] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(101.28 mm, 117.06 mm): PTH pad 10 [/IO_9] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(107.2 mm, 140.9 mm): PTH pad 1 [/~{INT}] of D1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(103.82 mm, 119.6 mm): PTH pad 11 [/IO_5] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(107.2 mm, 140.9 mm): PTH pad 1 [/~{INT}] of D1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(103.82 mm, 119.6 mm): PTH pad 11 [/IO_5] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(114.82 mm, 140.9 mm): PTH pad 2 [Net-(D1-A)] of D1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(103.82 mm, 117.06 mm): PTH pad 12 [/IO_10] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(114.82 mm, 140.9 mm): PTH pad 2 [Net-(D1-A)] of D1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(103.82 mm, 117.06 mm): PTH pad 12 [/IO_10] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(79.88 mm, 140.5 mm): PTH pad 1 [+3.3V] of R2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(79.88 mm, 140.5 mm): PTH pad 1 [+3.3V] of R2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(106.36 mm, 119.6 mm): PTH pad 13 [/CLK_LV] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(87.5 mm, 140.5 mm): PTH pad 2 [/ADDR_OE] of R2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(87.5 mm, 140.5 mm): PTH pad 2 [/ADDR_OE] of R2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(106.36 mm, 119.6 mm): PTH pad 13 [/CLK_LV] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(106.36 mm, 117.06 mm): PTH pad 14 [/IO_11] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(128.7 mm, 159.25 mm): PTH pad 1 [+3.3V] of C3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(106.36 mm, 117.06 mm): PTH pad 14 [/IO_11] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(128.7 mm, 159.25 mm): PTH pad 1 [+3.3V] of C3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(75.2 mm, 121.8 mm): PTH pad 1 [+5V] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(79.79 mm, 136.4 mm): PTH pad 1 [+3.3V] of R1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(79.79 mm, 136.4 mm): PTH pad 1 [+3.3V] of R1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(75.2 mm, 121.8 mm): PTH pad 1 [+5V] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(87.41 mm, 136.4 mm): PTH pad 2 [/DATA_OE] of R1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(77.74 mm, 121.8 mm): PTH pad 2 [/FPGA_VCC] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(87.41 mm, 136.4 mm): PTH pad 2 [/DATA_OE] of R1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(77.74 mm, 121.8 mm): PTH pad 2 [/FPGA_VCC] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(75.2 mm, 124.34 mm): PTH pad 3 [/ADDR_OE] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(68.27 mm, 158.71 mm): PTH pad 1 [+3.3V] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(75.2 mm, 124.34 mm): PTH pad 3 [/ADDR_OE] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(75.2 mm, 126.88 mm): PTH pad 5 [/DATA_OE] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
